index,species,in_heatmap
531,human,False
532,human,False
533,human,False
534,human,False
535,human,False
536,human,False
537,human,False
538,human,False
539,human,False
540,human,False
541,human,False
542,human,True
543,human,False
544,human,False
545,human,False
546,human,False
547,human,False
548,human,False
549,human,False
550,human,False
551,human,False
552,human,False
553,human,False
554,human,False
555,human,False
556,human,False
557,human,False
558,human,False
559,human,True
560,human,True
561,human,False
562,human,False
563,human,False
564,human,False
565,human,False
566,human,False
567,human,False
568,human,True
569,human,True
570,human,False
571,human,True
572,human,False
573,human,False
574,human,False
575,human,True
576,human,False
577,human,False
578,human,False
579,human,False
580,human,False
581,human,False
582,human,False
583,human,True
584,human,False
585,human,False
586,human,False
587,human,False
588,human,False
589,human,False
590,human,False
591,human,False
592,human,False
593,human,False
594,human,False
595,human,False
596,human,False
597,human,False
598,human,False
599,human,False
600,human,False
601,human,True
602,human,False
603,human,False
604,human,False
605,human,False
606,human,False
607,human,False
608,human,False
609,human,False
610,human,False
611,human,False
612,human,False
613,human,False
614,human,False
615,human,False
616,human,False
617,human,True
618,human,False
619,human,True
620,human,False
621,human,False
622,human,False
623,human,False
624,human,False
625,human,False
626,human,False
627,human,False
628,human,False
629,human,False
630,human,False
631,human,False
632,human,False
633,human,False
634,human,False
635,human,False
636,human,False
637,human,False
638,human,False
639,human,False
640,human,True
641,human,False
642,human,False
643,human,True
644,human,False
645,human,False
646,human,False
647,human,False
648,human,False
649,human,False
650,human,True
651,human,False
652,human,True
653,human,False
654,human,False
655,human,False
656,human,False
657,human,True
658,human,True
659,human,True
660,human,True
661,human,False
662,human,False
663,human,False
664,human,False
665,human,False
666,human,False
667,human,True
668,human,False
669,human,False
670,human,True
671,human,False
672,human,False
673,human,True
674,human,False
675,human,False
676,human,False
677,human,False
678,human,False
679,human,False
680,human,False
681,human,False
682,human,False
683,human,False
684,human,False
685,human,False
686,human,False
687,human,False
688,human,False
689,human,False
690,human,True
691,human,False
692,human,False
693,human,True
694,human,False
695,human,False
696,human,False
697,human,False
698,human,False
699,human,False
700,human,False
701,human,False
702,human,False
703,human,False
704,human,False
705,human,False
706,human,False
707,human,False
708,human,False
709,human,False
710,human,True
711,human,False
712,human,False
713,human,False
714,human,False
715,human,False
716,human,False
717,human,False
718,human,False
719,human,False
720,human,False
721,human,False
722,human,True
723,human,False
724,human,False
725,human,False
726,human,False
727,human,False
728,human,False
729,human,False
730,human,False
731,human,False
732,human,False
733,human,False
734,human,False
735,human,True
736,human,False
737,human,False
738,human,False
739,human,False
740,human,True
741,human,False
742,human,True
743,human,False
744,human,False
745,human,False
746,human,True
747,human,False
748,human,False
749,human,False
750,human,False
751,human,False
752,human,False
753,human,False
754,human,True
755,human,False
756,human,False
757,human,False
758,human,False
759,human,False
760,human,False
761,human,False
762,human,False
763,human,False
764,human,False
765,human,False
766,human,False
767,human,False
768,human,False
769,human,True
770,human,False
771,human,False
772,human,False
773,human,False
774,human,False
775,human,False
776,human,False
777,human,False
778,human,False
779,human,False
780,human,False
781,human,False
782,human,False
783,human,False
784,human,False
785,human,True
786,human,False
787,human,False
788,human,False
789,human,False
790,human,False
791,human,False
792,human,False
793,human,False
794,human,False
795,human,False
796,human,False
797,human,False
798,human,True
799,human,True
800,human,False
801,human,False
802,human,False
803,human,False
804,human,True
805,human,False
806,human,True
807,human,False
808,human,True
809,human,False
810,human,False
811,human,False
812,human,False
813,human,False
814,human,True
815,human,False
816,human,False
817,human,False
818,human,False
819,human,False
820,mouse,True
821,mouse,False
822,mouse,True
823,mouse,False
824,mouse,False
825,mouse,False
826,mouse,False
827,mouse,False
828,mouse,False
829,mouse,False
830,mouse,True
831,mouse,False
832,mouse,False
833,mouse,False
834,mouse,False
835,mouse,False
836,mouse,False
837,mouse,False
838,mouse,False
839,mouse,True
840,mouse,False
841,mouse,False
842,mouse,False
843,mouse,False
844,mouse,False
845,mouse,False
846,mouse,True
847,mouse,True
848,mouse,False
849,mouse,False
850,mouse,False
851,mouse,False
852,mouse,False
853,mouse,False
854,mouse,False
855,mouse,False
856,mouse,False
857,mouse,True
858,mouse,True
859,mouse,False
860,mouse,False
861,mouse,False
862,mouse,False
863,mouse,False
864,mouse,False
865,mouse,False
866,mouse,False
867,mouse,False
868,mouse,False
869,mouse,True
870,mouse,False
871,mouse,False
872,mouse,False
873,mouse,False
874,mouse,False
875,mouse,True
876,mouse,False
877,mouse,False
878,mouse,False
879,mouse,True
880,mouse,False
881,mouse,False
882,mouse,False
883,mouse,False
884,mouse,False
885,mouse,False
886,mouse,True
887,mouse,False
888,mouse,False
889,mouse,False
890,mouse,False
891,mouse,False
892,mouse,False
893,mouse,False
894,mouse,False
895,mouse,False
896,mouse,False
897,mouse,False
898,mouse,False
899,mouse,False
900,mouse,False
901,mouse,True
902,mouse,False
903,mouse,True
904,mouse,False
905,mouse,False
906,mouse,False
907,mouse,False
908,mouse,False
909,mouse,False
910,mouse,False
911,mouse,False
912,mouse,False
913,mouse,False
914,mouse,False
915,mouse,False
916,mouse,False
917,mouse,False
918,mouse,False
919,mouse,False
920,mouse,False
921,mouse,False
922,mouse,True
923,mouse,False
924,mouse,False
925,mouse,False
926,mouse,False
927,mouse,False
928,mouse,False
929,mouse,True
930,mouse,False
931,mouse,False
932,mouse,False
933,mouse,False
934,mouse,False
935,mouse,False
936,mouse,False
937,mouse,False
938,mouse,True
939,mouse,False
940,mouse,False
941,mouse,False
942,mouse,False
943,mouse,False
944,mouse,False
945,mouse,False
946,mouse,False
947,mouse,False
948,mouse,False
949,mouse,False
950,mouse,False
951,mouse,False
952,mouse,False
953,mouse,False
954,mouse,False
955,mouse,False
956,mouse,True
957,mouse,False
958,mouse,False
959,mouse,False
960,mouse,True
961,mouse,False
962,mouse,False
963,mouse,False
964,mouse,False
965,mouse,False
966,mouse,True
967,mouse,False
968,mouse,False
969,mouse,True
970,mouse,False
971,mouse,False
972,mouse,False
973,mouse,False
974,mouse,False
975,mouse,False
976,mouse,False
977,mouse,False
978,mouse,False
979,mouse,False
980,mouse,False
981,mouse,False
982,mouse,False
983,mouse,False
984,mouse,False
985,mouse,False
986,mouse,True
987,mouse,True
988,mouse,False
989,mouse,False
990,mouse,False
991,mouse,False
992,mouse,False
993,mouse,False
994,mouse,False
995,mouse,False
996,mouse,False
997,mouse,False
998,mouse,False
999,mouse,False
1000,mouse,False
1001,mouse,False
1002,mouse,False
1003,mouse,False
1004,mouse,True
1005,mouse,False
1006,mouse,False
1007,mouse,False
1008,mouse,False
1009,mouse,False
1010,mouse,False
1011,mouse,False
1012,mouse,False
1013,mouse,False
1014,mouse,False
1015,mouse,False
1016,mouse,False
1017,mouse,False
1018,mouse,True
1019,mouse,False
1020,mouse,False
1021,mouse,False
1022,mouse,False
1023,mouse,False
1024,mouse,False
1025,mouse,False
1026,mouse,False
1027,mouse,False
1028,mouse,False
1029,mouse,True
1030,mouse,False
1031,mouse,False
1032,mouse,False
1033,mouse,False
1034,mouse,False
1035,mouse,False
1036,mouse,False
1037,mouse,False
1038,mouse,False
1039,mouse,False
1040,mouse,False
1041,mouse,False
1042,mouse,True
1043,mouse,True
1044,mouse,False
1045,mouse,True
1046,mouse,False
1047,mouse,True
1048,mouse,True
1049,mouse,False
1050,mouse,True
1051,mouse,False
1052,mouse,False
1053,mouse,False
1054,mouse,False
1055,mouse,False
1056,mouse,False
1057,mouse,False
1058,mouse,False
1059,mouse,False
1060,mouse,False
1061,mouse,False
1062,mouse,False
1063,mouse,False
1064,mouse,False
1065,mouse,True
1066,mouse,True
1067,mouse,True
1068,mouse,False
1069,mouse,False
1070,mouse,False
1071,mouse,False
1072,mouse,False
1073,mouse,False
1074,mouse,False
1075,mouse,False
1076,mouse,False
